FLAIR_NC_Intensity_CoefficientOfVariation,FLAIR_NC_Intensity_Energy,FLAIR_NC_Intensity_InterQuartileRange,FLAIR_NC_Intensity_Kurtosis,FLAIR_NC_Intensity_Mean,FLAIR_NC_Intensity_MeanAbsoluteDeviation,FLAIR_NC_Intensity_Median,FLAIR_NC_Intensity_MedianAbsoluteDeviation,FLAIR_NC_Intensity_Minimum,FLAIR_NC_Intensity_Mode,FLAIR_NC_Intensity_NinetiethPercentile,FLAIR_NC_Intensity_QuartileCoefficientOfVariation,FLAIR_NC_Intensity_Range,FLAIR_NC_Intensity_StandardDeviation,FLAIR_NC_Intensity_Sum,FLAIR_NC_Intensity_TenthPercentile,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-0_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-0_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-10_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-11_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-11_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-12_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-12_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-13_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-13_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-14_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-14_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-15_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-15_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-1_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-1_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-2_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-3_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-3_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-4_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-5_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-5_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-6_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-6_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-7_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-7_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-8_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-8_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-9_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-9_Probability,FLAIR_NC_Histogram_Bins-16_Bins-16_CoefficientOfVariation,FLAIR_NC_Histogram_Bins-16_Bins-16_Energy,FLAIR_NC_Histogram_Bins-16_Bins-16_Entropy,FLAIR_NC_Histogram_Bins-16_Bins-16_FifthPercentileMean,FLAIR_NC_Histogram_Bins-16_Bins-16_Kurtosis,FLAIR_NC_Histogram_Bins-16_Bins-16_Mean,FLAIR_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,FLAIR_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,FLAIR_NC_Histogram_Bins-16_Bins-16_NinetyFifthPercentile,FLAIR_NC_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,FLAIR_NC_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,FLAIR_NC_Histogram_Bins-16_Bins-16_RobustMeanAbsoluteDeviation1090,FLAIR_NC_Histogram_Bins-16_Bins-16_RootMeanSquare,FLAIR_NC_Histogram_Bins-16_Bins-16_Skewness,FLAIR_NC_Histogram_Bins-16_Bins-16_Uniformity,FLAIR_NC_Morphologic_Eccentricity,FLAIR_NC_Morphologic_EllipseDiameter_Axis-0,FLAIR_NC_Morphologic_EllipseDiameter_Axis-1,FLAIR_NC_Morphologic_EllipseDiameter_Axis-2,FLAIR_NC_Morphologic_Elongation,FLAIR_NC_Morphologic_EquivalentSphericalPerimeter,FLAIR_NC_Morphologic_EquivalentSphericalRadius,FLAIR_NC_Morphologic_Flatness,FLAIR_NC_Morphologic_LargestComponentSize,FLAIR_NC_Morphologic_Roundness,FLAIR_NC_GLCM_Bins-16_Radius-1_AutoCorrelation,FLAIR_NC_GLCM_Bins-16_Radius-1_ClusterProminence,FLAIR_NC_GLCM_Bins-16_Radius-1_ClusterShade,FLAIR_NC_GLCM_Bins-16_Radius-1_Contrast,FLAIR_NC_GLCM_Bins-16_Radius-1_Correlation,FLAIR_NC_GLCM_Bins-16_Radius-1_Energy,FLAIR_NC_GLCM_Bins-16_Radius-1_Entropy,FLAIR_NC_GLCM_Bins-16_Radius-1_Homogeneity,FLAIR_NC_GLRLM_Bins-16_Radius-1_GreyLevelNonuniformity,FLAIR_NC_GLRLM_Bins-16_Radius-1_LongRunEmphasis,FLAIR_NC_GLRLM_Bins-16_Radius-1_LongRunHighGreyLevelEmphasis,FLAIR_NC_GLRLM_Bins-16_Radius-1_LongRunLowGreyLevelEmphasis,FLAIR_NC_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,FLAIR_NC_GLRLM_Bins-16_Radius-1_ShortRunHighGreyLevelEmphasis,FLAIR_NC_GLRLM_Bins-16_Radius-1_ShortRunLowGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_GreyLevelMean,FLAIR_NC_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,FLAIR_NC_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,FLAIR_NC_GLSZM_Bins-16_Radius-1_GreyLevelVariance,FLAIR_NC_GLSZM_Bins-16_Radius-1_HighGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_LargeZoneEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_LargeZoneLowGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,FLAIR_NC_GLSZM_Bins-16_Radius-1_ZonePercentage,FLAIR_NC_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,FLAIR_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean,FLAIR_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNonUniformity,FLAIR_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,FLAIR_NC_NGTDM_Coarsness,FLAIR_NC_NGTDM_Complexity
0.2280112756,43948482,25,4.164279299,92.50594019,3.036616886e-14,92.0,0.5059401884,11,92,118,0.1351351351,182,21.09239743,451614,68,6,0.001229004506,151,0.03092994674,68,0.01392871774,32,0.006554690701,11,0.002253174928,2,0.0004096681688,6,0.001229004506,24,0.004916018025,65,0.01331421549,125,0.02560426055,0.05182302335,724,0.1482998771,1052,0.2154854568,1196,0.2449815649,745,0.1526013929,422,0.08643998361,0.2802557629,233432,2.915876133,45.20338983,4.130731993,6.658336747,-1.020135317e-13,-0.3416632528,126.7733941,139.8697479,0.1428571429,1.019134952,6.914826823,0.1026908826,0.1639463984,0.7815863014,11.98070325,19.09757735,24.24861429,1.269722009,984.5736659,8.85154692,1.594028077,2905,0.5849097197,6783.58665,422.8254083,-1.686224166,2.945988822,0.1667427353,0.03733385332,5.412683205,0.5480499818,15631.6678,1.036086845,65.54035614,0.02422116517,0.9920094588,62.56658004,0.02343504192,8.0890625,67.753125,0.1058642578,7.224880371,72.6578125,1390.9375,82104.31719,25.2175249,0.03039610896,0.5575770234,41.56624346,0.01694525721,0.131093814,5.871718017,7.628125,186.421875,0.2912841797,0.0001653659762,876.7643079
0.24394844,247423510,53,2.625396131,152.4430292,-1.901983397e-12,154.0,-1.556970843,17,159,201,0.1737704918,238,37.18823915,1531900,102,3,0.0002985371679,1297,0.1290675689,1000,0.09951238929,789,0.07851527515,415,0.04129764156,108,0.01074733804,57,0.00567220619,7,0.000696586725,19,0.001890735397,149,0.014827346,0.03741665837,679,0.06756891233,904,0.08995919992,1179,0.117325107,1402,0.1395163698,1665,0.1656881282,0.2926672727,807767,3.362663349,77.76008065,2.575159291,8.60473679,2.980397632e-13,-0.3952632103,213.2772426,225.5732759,0.1764705882,1.691983685,8.96564689,-0.06862676896,0.1095437511,0.69677416,16.25334961,18.22660172,23.99546474,1.316507877,1161.45317,9.613818523,1.121405874,3722,0.5072327432,26688.27346,1233.587533,-10.18447701,2.722351949,0.126036604,0.02272362704,5.932845519,0.548895745,22167.30462,1.010146839,97.54325447,0.01520568578,0.9975070314,96.1714123,0.01505927553,8.804112554,88.5995671,0.09588697738,8.68348958,86.19588745,2282.918831,251301.1634,23.48039573,0.02325337959,0.4901268702,42.21480459,0.01366917756,0.09194944771,6.434181742,10.87554113,211.8246753,0.2292474841,9.353364034e-05,1078.122787
0.2567315459,46113215,41,2.869976719,118.4210697,1.576598747e-13,118.0,0.4210696921,36,118,157,0.1729957806,194,30.40242429,365329,79,27,0.008752025932,157,0.05089141005,89,0.02884927066,38,0.01231766613,13,0.004213938412,6,0.001944894652,3,0.0009724473258,47,0.0152350081,122,0.03954619125,228,0.07390599676,0.09594813614,466,0.1510534846,468,0.1517017828,487,0.1578606159,353,0.1144246353,285,0.09238249595,0.3986574839,141350,3.363534957,58.0472973,2.905101003,6.287844408,-1.396809554e-13,0.2878444084,169.0526514,182.7114094,0.2307692308,1.482558838,6.768934665,0.09862914754,0.1125152552,0.8481139717,10.44757772,13.03721888,22.02809778,1.68963166,653.5340922,7.211559514,1.247870007,1571,0.3261847599,13162.40788,1071.038313,11.27057357,4.314591006,0.1068892138,0.01881102021,6.214885455,0.4654882121,7873.473823,1.025798491,61.44917417,0.03977338701,0.9938619531,59.44768016,0.03858955041,7.373151308,86.05346985,0.09789928311,8.167925337,62.53128555,66.79067122,3739.691695,1.855233954,0.0481750266,0.613572643,39.44601002,0.03058004241,0.2849270665,5.767989465,3.50967008,306.8134243,0.3490482643,0.0003995799812,762.6364208
0.3059544221,273935382,48,3.310153757,112.9998471,-1.708274117e-12,109.0,3.999847071,8,107,158,0.2142857143,247,34.57280291,2216718,71,7,0.0003568333588,777,0.03960850283,403,0.02054340623,191,0.009736453076,131,0.006677881429,45,0.002293928735,31,0.001580262018,76,0.003874190753,391,0.0199316919,1239,0.06315950451,0.1348830096,3396,0.1731151552,3597,0.1833613702,2497,0.1272875567,2698,0.1375337717,1492,0.07605648162,0.3581466812,877297,3.178628607,50.58671587,3.319632993,6.295814854,7.526330751e-14,0.2958148545,174.3431181,195.4923077,0.2307692308,1.330551466,6.687395769,0.5034814943,0.1292254732,0.7133815192,22.93061567,30.78695194,37.9150882,1.231531081,2811.120912,14.95666722,1.342613403,14015,0.2904853634,9913.52893,896.1476629,26.34062886,1.110545401,0.1930904654,0.04664419438,5.036848294,0.7024999504,38759.76063,1.097061596,64.8108676,0.03012135628,0.9777088378,58.93654917,0.02668357046,7.964362851,77.28725702,0.0834635605,11.64343842,75.07451404,23558.37473,1146861.585,599.40707,0.03400491385,0.4876107815,37.75637366,0.01625022015,0.04720395575,6.55934787,21.18466523,210.0215983,0.2268051817,5.672076959e-05,802.7184671
0.2106629261,172348850,35,4.230865806,131.3716796,-2.103063825e-13,129.0,2.371679565,0,128,166,0.1351351351,255,27.67514242,1256176,99,1,0.0001045806317,750,0.07843547375,318,0.03325664087,140,0.01464128843,78,0.00815728927,28,0.002928257687,21,0.002196193265,0,0.0,12,0.00125496758,28,0.002928257687,0.008575611797,558,0.05835599247,1668,0.1744404936,2119,0.2216063585,2237,0.233946873,1522,0.1591717214,0.2260641607,602924,2.810907479,78.9403794,4.006394494,7.745241581,-2.083594864e-13,-0.2547584187,180.783029,200.5523385,0.125,1.047341337,7.940665763,0.5503515825,0.1706471981,0.8676168627,14.63704394,29.51196264,41.79896293,1.416339653,2162.193329,13.11723592,2.016251557,9454,0.3242004167,8552.352721,330.4709418,13.87686657,2.289949315,0.2075609003,0.04637932119,5.094816641,0.6072578727,29181.00134,1.091683746,88.91141285,0.01598943914,0.9800891369,81.19541344,0.0142444915,10.04,68.08307692,0.1047431953,7.650707692,108.4523077,9658.04,706950.36,139.0790592,0.01511635658,0.4800820352,54.56917289,0.007939970435,0.06797741058,6.242975756,14.71076923,145.0953846,0.2232236686,7.175211199e-05,901.6806649
0.1256447577,709618625,27,3.642552157,175.2156889,-2.724936856e-13,176.0,-0.7843111404,48,172,202,0.07692307692,207,22.01493276,3987033,148,2,8.789277082e-05,5289,0.2324324324,3226,0.1417710393,1409,0.06192045704,455,0.01999560536,124,0.005449351791,45,0.001977587343,1,4.394638541e-05,9,0.0003955174687,25,0.001098659635,0.003823335531,300,0.01318391562,749,0.03291584267,1780,0.07822456603,3724,0.1636563393,5530,0.2430235113,0.1836787255,2043070,2.812107689,126.1696505,3.597723551,9.319622061,-4.889345892e-13,0.3196220611,211.5723939,221.4770459,0.1111111111,1.002573525,9.475523291,-0.1744809217,0.1716276033,0.8342798871,24.36748802,32.74007081,51.2300495,1.564750724,3727.577143,17.2229836,1.343596467,21400,0.220559966,11715.4538,257.7117618,-2.744307894,1.395125662,0.2883392978,0.05474883934,4.806444907,0.6471691184,66804.9483,1.058063874,115.5001944,0.011332384,0.9864444118,107.9842117,0.01059758307,9.921298574,210.9734383,0.1037744409,7.043486361,105.4756517,22542.35858,2604455.107,199.7790256,0.01425865381,0.5676024365,59.82804861,0.008767571637,0.08934300154,5.929395136,11.19281849,615.839154,0.3029213743,2.467894405e-05,1296.022566
0.1619364977,389551527,30,3.561417696,137.5475977,-9.072593819000001e-14,136.0,1.547597687,55,133,165,0.1094890511,200,22.27397624,2759755,110,5,0.0002492025518,384,0.01913875598,180,0.008971291866,67,0.003339314195,35,0.001744417863,10,0.0004984051037,7,0.0003488835726,17,0.0008472886762,127,0.006329744817,1090,0.0543261563,0.1300837321,4065,0.2026016746,4070,0.2028508772,3989,0.1988137959,2396,0.1194178628,1012,0.05043859649,0.2964067524,810295,2.872419023,96.46745562,3.534892657,6.092952552,-5.671989548e-13,0.09295255183,176.1206136,190.7054871,0.1666666667,1.061133416,6.35495998,0.425475068,0.1589028148,0.8374997047,21.56948314,34.67691682,50.04945944,1.443307654,3515.628234,16.72617128,1.60768418,19601,0.5507378976,5942.453356,320.9116569,8.20141319,1.328019126,0.2647687129,0.05084422919,4.816680892,0.6697320779,48298.72733,1.13149106,63.01691381,0.02759471236,0.9708840679,55.6139982,0.02347963682,8.293478261,92.82213439,0.09172147667,8.95240806,77.73418972,47211.60079,2413487.281,1040.290821,0.02911787013,0.5901145442,47.65049785,0.01803487036,0.05043859649,5.90065651,19.82608696,329.0731225,0.3251710697,4.48820749e-05,838.8863298
0.2738261019,273140738,38,4.120285944,115.4057029,1.445821506e-12,119.0,-3.594297096,0,131,150,0.1610169492,240,31.60109377,2201710,75,154,0.008072124961,1265,0.06630674075,373,0.01955131565,124,0.006499633085,39,0.002044239438,13,0.000681413146,4,0.0002096655834,213,0.01116469232,344,0.01803124017,450,0.02358737813,0.04093720516,1484,0.07778593144,2602,0.136387462,3955,0.2073068456,3920,0.2054722717,3357,0.1759618409,0.2967127747,1065027,3.054392785,32.47764449,4.026248319,7.162962575,-2.647189756e-13,0.1629625747,160.3463948,173.322503,0.2,1.168279447,7.471604702,-0.7052382803,0.1483826676,0.7891144092,23.39096576,32.96633047,45.20816407,1.371343532,3352.537366,16.33359871,1.409361666,18253,0.3583966941,9269.145633,907.1402917,-48.59210638,2.463962164,0.1690321796,0.04039798283,5.377892814,0.5956313392,47962.12149,1.11473926,78.2186563,0.05972874606,0.9817104177,69.93396136,0.02780129942,8.259722222,126.9194444,0.08813850309,9.820044367,78.04305556,25909.38194,1975686.579,369.6229572,0.03964040444,0.5890051928,47.71918841,0.02270426136,0.07547961002,5.982366606,13.24861111,467.6,0.3247222222,4.110567713e-05,920.0676977
0.3058570294,629849204,85,2.069719038,170.3584601,1.00276534e-14,177.0,-6.641539857,23,207,237,0.2478134111,232,52.10533255,3380934,97,24,0.0012093117,1296,0.0653028318,1732,0.08727199436,2381,0.1199737982,2105,0.1060667137,1743,0.08782626222,1449,0.07301219389,95,0.004786858813,335,0.01687997581,580,0.02922503275,0.04081426988,1245,0.06273304444,1396,0.07034163056,1694,0.08535725083,1496,0.07538042931,1465,0.07381840169,0.3731318706,2103845,3.725377307,65.22955975,2.078031687,9.646427492,-6.232208251e-13,-0.3535725083,245.2089478,250.2132254,0.3,2.495900398,10.29604369,-0.3230067044,0.08069877653,0.6384065227,27.20219521,34.69677093,39.91401147,1.150366746,3530.439708,16.76136824,1.275513637,19725,0.5921561356,80807.47595,4933.698952,-129.3022741,1.944913943,0.07380311342,0.02652456945,5.893529968,0.6527054724,24518.04025,1.21966555,150.612546,0.02177418312,0.9602373452,103.5471153,0.0197707581,8.040747029,49.55348048,0.0841315458,11.397321,76.05093379,44389.01868,6766178.29,389.9865053,0.04668601115,0.5281155624,41.84972026,0.0219544112,0.02967852464,6.200164763,33.69439728,156.7724958,0.2661672254,5.434499504e-05,1260.322465
0.1954523577,182288590,61,2.916471971,195.776468,-1.0224618450000001e-14,200.0,-4.22353198,10,221,244,0.155216285,245,38.26497225,896852,144,1,0.0002182929491,485,0.1058720803,506,0.1104562323,635,0.1386160227,661,0.1442916394,620,0.1353416285,629,0.137306265,4,0.0008731717966,5,0.001091464746,7,0.001528050644,0.003056101288,20,0.004365858983,39,0.008513425016,110,0.02401222441,346,0.0755293604,499,0.1089281816,0.2141042612,646088,3.189996007,111.8113208,2.940944461,11.61274831,-1.157295899e-13,-0.3872516918,249.5736016,253.4256198,0.1666666667,1.880183572,11.87587702,-0.5339664186,0.1188661575,0.86122436,13.95830587,19.26775335,32.26828701,1.674730127,1326.711029,10.27503329,1.380379075,4544,0.6789850173,35963.62475,1321.575218,-61.59092906,2.128204107,0.1438589508,0.03324301555,5.406581029,0.5874646992,9902.145543,1.217197044,197.7064667,0.009830067763,0.9576329045,147.0241542,0.008192478019,9.578680203,28.79695431,0.1461774331,6.741271355,98.49238579,9652.329949,1813955.579,55.33093315,0.01994174546,0.5373857271,51.75831298,0.01231567534,0.04300371098,5.354595137,23.25380711,53.34517766,0.2707877039,0.0001396920317,1961.814202
0.2151929057,122663938,43,3.356179441,151.1279953,-2.748317841e-13,150.0,1.127995324,11,146,192,0.1419141914,244,32.52167245,775740,111,3,0.0005844535359,783,0.1525423729,584,0.1137736217,256,0.0498733684,138,0.02688486265,39,0.007597895967,16,0.003117085525,10,0.001948178453,13,0.002532631989,36,0.007013442431,0.01480615624,155,0.03019676602,422,0.08221313072,783,0.1525423729,959,0.1868303137,860,0.167543347,0.2477944933,410466,3.13845008,79.37603306,3.309121787,8.67991428,4.8652728490000005e-14,-0.3200857199,205.5798836,218.4647303,0.1764705882,1.313686963,8.942376736,-0.09952602481,0.1336865256,0.6276753628,18.12503177,20.50201407,24.76240769,1.207803663,1379.522077,10.47754164,1.131143621,4818,0.558865532,16608.16514,728.6133392,-8.772838524,2.930877312,0.1502873392,0.02749498151,5.747522746,0.5262006367,13359.12179,1.05277735,104.2743691,0.01470364271,0.9875763472,98.16489623,0.01392099847,9.77027027,39.41891892,0.08878134892,9.771548576,105.2297297,5352.853604,491603.9482,62.1521163,0.01969949536,0.5896519984,61.48607337,0.01077758322,0.08649912332,5.799045094,11.56081081,143.8378378,0.3239590942,0.0001500281774,1129.53419
0.164621018,352509028,31,3.606981754,145.5351765,-5.028699144e-13,146.0,-0.4648235004,4,142,176,0.1058020478,214,23.95814891,2358252,116,2,0.0001234263145,3610,0.2227844977,3227,0.1991483584,2283,0.140891138,1079,0.06658849667,217,0.01339175512,14,0.0008639842014,2,0.0001234263145,5,0.0003085657862,21,0.001295976302,0.003764502592,134,0.008269563071,274,0.01690940509,752,0.04640829425,1605,0.09904961738,2918,0.1800789928,0.180422204,1698579,2.884628002,88.09782609,3.554467856,10.07572204,3.634063894e-13,0.07572204394,184.1829285,190.5781991,0.1,1.043840249,10.23839211,-0.4381652768,0.1585207178,0.908097083,21.15984702,25.15650968,55.09555629,2.190111307,2987.69454,15.41924697,1.188879563,15356,0.2982434549,16687.71312,430.8083652,-20.36513011,1.258383071,0.2636200125,0.04945211243,4.847469746,0.6574664401,45324.81502,1.065665899,130.1481086,0.01024339476,0.9843317719,119.5678043,0.009567416673,9.50048216,144.3905497,0.1392387171,5.314609218,95.57377049,27526.22372,3752743.702,207.9498829,0.01484745347,0.5501400749,53.2901235,0.00791115793,0.06399654406,5.639188386,15.62584378,298.9807136,0.2883131279,3.458191379e-05,1474.180922
